,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,             TIME TABLE JULY TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,             TIME TABLE JULY TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,,,             TIME TABLE JULY TO DEC  2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,             TIME TABLE JULY TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,FIRST YEAR -A,,,,,,,,,,,,,,,,,,,,,,,,,,,FIRST YEAR -A,,,,,,,,,,,,,,,,,,,,,,,,FIRST YEAR -A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIRST YEAR -A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LECTURE,,1A1,,,,,,,,,,,,,,,,1A2,,,,,,,,,,,,,,,,1A3,,,,,,,,,,,,,,,,1A4,,,,,,,,,,1A5,,,,,,,,,,1A6,,,,,,,,,,1A7,,,,,,,,,,1A8,,,,,,,,,,1A9,,,,,,,,,,1X1,,,,,,,,1X2,,,,,,,,1C1,,,,,,,,,,,,
,,TUTORIAL,,1A11,,1A12,,1A13,,1A14,,1A15,,1A16,,1A17,,1A18,,1A21,,1A22,,1A23,,1A24,,1A25,,1A26,,1A27,,1A28,,1A31,,1A32,,1A33,,1A34,,1A35,,1A36,,1A37,,1A38,,1A41,,1A42,,1A43,,1A44,,1A45,,1A51,,1A52,,1A53,,1A54,,1A55,,1A61,,1A62,,1A63,,1A64,,1A65,,1A71,,1A72,,1A73,,1A74,,1A75,,1A81,,1A82,,1A83,,1A84,,1A85,,1A91,,1A92,,1A93,,1A94,,1A95,,1X11,,1X12,,1X13,,1X14,,1X21,,1X22,,1X23,,1X24,,1C11,,1C12,,1C13,,1C14,,1C15,,,,
DAY,SR NO,PRACTICAL,HOURS,1A1A,,1A1B,,1A1C,,1A1D,,1A1E,,1A1F,,1A1G,,1A1H,,1A2A,,1A2B,,1A2C,,1A2D,,1A2E,,1A2F,,1A2G,,1A2H,,1A3A,,1A3B,,1A3C,,1A3D,,1A3E,,1A3F,,1A3G,,1A3H,,1A4A,,1A4B,,1A4C,,1A4D,,1A4E,,1A5A,,1A5B,,1A5C,,1A5D,,1A5E,,1A6A,,1A6B,,1A6C,,1A6D,,1A6E,,1A7A,,1A7B,,1A7C,,1A7D,,1A7E,,1A8A,,1A8B,,1A8C,,1A8D,,1A8E,,1A9A,,1A9B,,1A9C,,1A9D,,1A9E,,1X1A,,1X1B,,1X1C,,1X1D,,1X2A,,1X2B,,1X2C,,1X2D,,1C1A,,1C1B,,1C1C,,1C1D,,1C1E,,DAY,SR.NO,HOURS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,8:00 AM,,,,,,,,,,,,,,,,,UCB009P,,UCB009P,,UCB009P,,UES103P,,UES103P,,UES103P,,UES013T,,UMA022T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8:00 AM
M,,,,,,,,,,,,,,,,,,,,CBCL(G114),,CBO(G141),,CBTL(G253-A),,PL-1(L007),,PL-2(L008),,PL-3(L010),,E304,TA8,E305,ANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,
,2,,8:50:AM,UCB009L,,,,,,,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,LAB,,UMA022T,,UES013T,,,,,,,,,,,,,,,,,,,,,,,,,,,,UMA022L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UES013L,,,,,,,,,,,,,,,,UES103L,,,,,,,,,,,2,8:50 AM
O,,,,LP101,,,,,,,,,,,,,,,SBA,TA20,,TA7,,TA2,,KNK-RA,,MNK-RA,,ISS-RA,,E304,ANK,E305,TA7,,,,,,,,,,,,,,,,,,,,,,,,,,,LP102,,,,,,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T105,,,,,,,AMT,,,,,,,,,LP103,,,,,,,,,VAA,O,,
,3,,9:40: AM,UEN008L,,,,,,,,,,,,,,,,UES103P,,UES103P,,UES103P,,UCB009P,,UCB009P,,UCB009P,,UES013P,,UES013P,,UES013P,,UES013P,,UES013T,,UMA022T,,,,,,,,,,,,,,,,,,,,UES013L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UES013T,,,,,,,,UMA022L,,,,,,,,,,,,,,,,UCB009L,,,,,,,,,,,3,9:40 AM
