,,,,,,,,,,,,,,,,,,TIME TABLE JULY TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIME TABLE JULY TO DEC 2026,,,,,,,,,,TIME TABLE JULY TO DEC 2026,,,,,,,,,,,,,,,,,,,,TIME TABLE JULY TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3RD YEAR -B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       3RD YEAR B,,,,,,,,,,       3RD YEAR B,,,,,,,,,,,,,,,,,,,,       3RD YEAR B,,,,,,,,,,,,,,,,,,,,,,
,,BRANCH,,COMPUTER ENGG,,,,,,,,,,,,,,,,COMPUTER ENGG,,,,,,,,,,COMPUTER ENGG,,,,,,,,,,COMPUTER ENGG,,,,,,,,,,COMPUTER ENGG,,,,,,,,,,COMPUTER ENGG,,,,,,,,,,COMPUTER ENGG,,,,,,,,,,,,,,COMPUTER SCIENCE AND ENGG,,,,,,,,,,COMPUTER SCIENCE AND ENGG,,,,,,,,,,COMPUTER SCIENCE AND ENGG,,,,,,,,,,,,COMPUTER SCIENCE AND ENGG,,,,,,,,AI AND MACHINE LEARNING,,,,,,,,,,,,
,,LECTURE,,3C1,,,,,,,,,,,,,,,,3C2,,,,,,,,,,3C3,,,,,,,,,,3C4,,,,,,,,,,3C5,,,,,,,,,,3C6,,,,,,,,,,3C7,,,,,,,,,,,,,,3Q1,,,,,,,,,,3Q2,,,,,,,,,,3Q3,,,,,,,,,,3P1,,,,,,,,LEET,,3X1,,,,,,,,,,,,
,,TUTORIAL,,3C11,,3C12,,3C13,,3C14,,3C15,,3C16,,3C17,,3C18,,3C21,,3C22,,3C23,,3C24,,3C25,,3C31,,3C32,,3C33,,3C34,,3C35,,3C41,,3C42,,3C43,,3C44,,3C45,,3C51,,3C52,,3C53,,3C54,,3C55,,3C61,,3C62,,3C63,,3C64,,3C65,,3C71,,3C72,,3C73,,3C74,,3C75,,3C811,,3C812,,3Q11,,3Q12,,3Q13,,3Q14,,3Q15,,3Q21,,3Q22,,3Q23,,3Q24,,3Q25,,3Q31,,3Q32,,3Q33,,3Q34,,3Q35,,3P11,,3P12,,3P13,,3P14,,3Q41,,3X11,,3X12,,3X13,,3X14,,3X15,,,,
DAY,,PRACTICAL,HOURS,3C1A,,3C1B,,3C1C,,3C1D,,3C1E,,3C1F,,3C1G,,3C1H,,3C2A,,3C2B,,3C2C,,3C2D,,3C2E,,3C3A,,3C3B,,3C3C,,3C3D,,3C3E,,3C4A,,3C4B,,3C4C,,3C4D,,3C4E,,3C5A,,3C5B,,3C5C,,3C5D,,3C5E,,3C6A,,3C6B,,3C6C,,3C6D,,3C6E,,3C7A,,3C7B,,3C7C,,3C7D,,3C7E,,3C81A,,3C81B,,3Q1A,,3Q1B,,3Q1C,,3Q1D,,3Q1E,,3Q2A,,3Q2B,,3Q2C,,3Q2D,,3Q2E,,3Q3A,,3Q3B,,3Q3C,,3Q3D,,3Q3E,,3P1A,,3P1B,,3P1C,,3P1D,,3Q4A,,3X1A,,3X1B,,3X1C,,3X1D,,3X1E,,DAY,,HOURS
,1,,8:00 AM,UCS503L,,,,,,,,,,,,,,,,UCS615L,,,,,,,,,,UCS503P,,UCS503P,,UCS553P,,,,,,UCS503L,,,,,,,,,,UML501P,,UML501P,,UCS615P,,UCS615P,,UML501P,,UCS510L,,,,,,,,,,,,,,,,,,,,UCS503L,,,,,,UML501P,,,,,,UCS503P,,UCS420P,,,,UCS553P,,UCS553P,,UCS553P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8:00 AM
M,,,,LT102,,,,,,,,,,,,,,,ASB,LT402,,,,,,,,,ANP,SE1(L104),,SE2(L105),,NS2(L103),,,,,,LT401,,,,,,,,,KML,PG(L313),,AI(L301),,IS1(L408),,IS2(L409),,DT(L308),,LT403,,,,,,,,,YAD,,,,,,,,,,,LT102,,,ASB,,,ML(L009),,,,,,SD(L501),,CIS(L301),,,,NS1(L102),,ES1(L401),,ES2(L402),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,
,2,,8:50 AM,UCS615L,,,,,,,,,,,,,,,,UCS421L,,,,,,,,,,LAB,,LAB,,LAB,,,,,,UCS615L,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,UCS503L,,,,,,,,,,,,,,,,,,,,UCS615L,,,,,,LAB,,,,,,LAB,,LAB,,,,LAB,,LAB,,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8:50 AM
O,,,,LT102,,,,,,,,,,,,,,,ABK,LT402,,,,,,,,,APB,PRM-RA,,JEE-RA,,NIK-RA,,,,,,LT401,,,,,,,,,ANP,HJS-RA,,ABY-RA,,MNV-RA,,GAU-RA,,AMR-RA,,LT403,,,,,,,,,ASB,,,,,,,,,,,LT102,,,ABK,,,SHK-RA,,,,,,SKH-RA,,ANY-RA,,,,NRD-RA,,KAK-RA,,DIM-RA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,
,3,,9:40 AM,UCS510L,,,,,,,,,,,,,,,,UML501P,,UML501P,,UCS503P,,,,UCS553P,,UCS615L,,,,,,,,,,UCS615P,,UCS615P,,UCS553P,,UML501P,,UCS503P,,UCS553L,,,,,,,,,,,,,,UCS615P,,UCS553P,,UCS553P,,,,,,UML501P,,,,,,UCS510L,,,,UCS421L,,,,,,,,,,UCS553L,,,,,,,,,,,,,,,,UCS503P,,UML501P,,,,,,,,,,UCS420P,,UAI502L,,,,,,,,,,,3,9:40 AM
