,,,,,,,,,,,,,,,,,,,,,,,,,,,PG TIME TBLE JULY TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG TIME TBLE JULY TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY,SR.NO,HOUR,,,M.E. CIVIL,,,,M.E. CIVIL,,,,M.E. CIVIL,,,,M.E. CIVIL,,,,M.E. CIVIL,,,,ME -EV,,,,MCA 1st Year,,,,,,,,,,2MCA1,,,,,,,,1ME AI,,,,ME CSE 1st Year,,,,,,,,M.Tech. (EST),,MSC Ist Yr CHEM ,,,,MSc(PHY) 1,,,,MSc(PHY) 2,,MSc -Mathematics & Computing,,MSc -Mathematics & Computing,,M.E. CIVIL,,,,PG-MEE (Mechanical),,M.Tech. BTD,,MSC BTD 1st Year,,,,MSC BTD 2nd Year,,,,P.H.D,
,,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,MTECH VLSI     FIRST SEM,,1ST YEAR(EIED),,MTECH VLSI     ,,1MCA 1,,1MCA 2,,1MCA 3,,1MCA 4,,1MCA 5,,2MCA 1,,2MCA2,,2MCA3,,2MCA4,,1MEAI 1,,1MEAI 2,,1ME(CS)1,,1ME(CS)2,,1ME(CS)3,,1ME(CS)4,,,,MSC Ist Yr CHEM ,,MSC IInd Yr CHEM ,,G1,,,,G1,,1ST YEAR,,2ND YEAR,,M.E. STRUCTURES Ist SEM,,M.E. TRANSPORTATION Ist SEM,,,,M.Tech. 1 (BT),,MS 1(BT1),,MS 1(BT2),,MS 2(BT1),,MS 2(BT2),,,
,1,8:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,8:50:AM ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PBT301L ,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F307,,SDS,,,
,3,9:40: AM ,,,,,,,,,,,,,,,,,,,,,,,,,,,MCA105P,,,,,,,,,,,,,,,,,,,,,,PCS108L,,,,,,,,,,PCYXXXL,,PCY326L,,,,,,PPH308L,,,,PMA301L,,,,,,,,PBY106P ,,PBT114L,,,,PBT304L ,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IOT(L302),,,,,,,,,,,,,,,,,,,,,,LP106,,,,,,,SAL,,,T202,RKD,T203,DSH,,,,,E202,JTK,,,F212,SC,,,,,,,,,F306,,VKH,,F307,,MVR,,,
