,,,,,TIME TABLE JULY TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,TIME TABLE JULY TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,TIME TABLE JULY TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIME TABLE JULY TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,,
,,,,,            3RD  YEAR -A,,,,,,,,,,,,,,,,,,,,,,            3RD  YEAR -A,,,,,,,,,,,,,,,,,,,,,,,,,,,            3RD  YEAR -A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3RD YEAR -A,,,,,,,,,,,,,,,,,,,,,,
,,,,,ELECTRONICS INSTRUMENTATION ENGG,,,,ELECTRICAL  ENGG,,,,,,MECHANICAL ENGG,,,,,,,,,,,,MECHATRONICS ENGG,,,,,,ROBOTICS(D202) AND ARTIFICIAL INTELEGENCE,,,,,,,,CHEMICAL ENGG,,,,BIOTECHNOLOGY ENGG,,,,,,,,CIVIL ENGG,,,,,,CIVIL AND COMPUTER,,ELECTRICAL AND COMPUTER ENGG,,,,,,,,,,BIOMEDICAL ENGG,,COMPUTER SCIENCE AND BUSINESS SYSTEMS,,,,,,ELECTRONICS AND COMPUTER ENGG,,,,,,,,ELECTRONICS AND COMPUTER ENGG,,,,,,,,ELECTRONICS AND COMPUTER ENGG,,,,,,,,ELECTRONICS AND COMMUNICATION ENGG,,,,,,,,ELECTRONICS AND COMMUNICATION ENGG,,,,,,,,,,,,VLSI,,,,,,,,,
,,,LECTURE,,3E1,,,,3D1,,,,,,3H1,,,,,,3H2,,,,,,3I1,,,,,,3W1,,,,,,,,3A1,,,,3G1,,,,,,,,3B1,,,,,,3U1,,3S1,,,,,,,,,,3J1,,3R1,,,,,,3O1,,,,,,,,3O2,,,,,,,,3O3,,,,,,,,3F1,,,,,,,,3F2,,,,,,3F3,,,,,,3V1,,,,,,,,,
,,,TUTORIAL,,3E11,,3E12,,3D11,,3D12,,3D13,,3H11,,3H12,,3H13,,3H21,,3H22,,3H23,,3I11,,3I12,,3I13,,3W11,,3W12,,3W13,,3W14,,3A11,,3A12,,3G11,,3G12,,3G13,,3G14,,3B11,,3B12,,3B13,,3U11,,3S11,,3S12,,3S13,,3S14,,3S15,,3J11,,3R11,,3R12,,3R13,,3O11,,3O12,,3O13,,3O14,,3O21,,3O22,,3O23,,3O24,,3O31,,3O32,,3O33,,3O34,,3F11,,3F12,,3F13,,3F14,,3F21,,3F22,,3F23,,3F31,,3F32,,3F33,,3V11,,3V12,,3V13,,,,,
DAY,DAY,SR NO,PRACTICAL,HOURS,3E1A,,3E1B,,3D1A,,3D1B,,3D1C,,3H1A,,3H1B,,3H1C,,3H2A,,3H2B,,3H2C,,3I1A,,3I1B,,3I1C,,3W1A,,3W1B,,3W1C,,3W1D,,3A1A,,3A1B,,3G1A,,3G1B,,3G1C,,3G1D,,3B1A,,3B1B,,3B1C,,3U1A,,3S1A,,3S1B,,3S1C,,3S1D,,3S1E,,3J1A,,3R1A,,3R1B,,3R1C,,3O1A,,3O1B,,3O1C,,3O1D,,3O2A,,3O2B,,3O2C,,3O2D,,3O3A,,3O3B,,3O3C,,3O3D,,3F1A,,3F1B,,3F1C,,3F1D,,3F2A,,3F2B,,3F2C,,3F3A,,3F3B,,3F3C,,3V1A,,3V1B,,3V1C,,DAY,SR NO,HOURS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,8:00 AM,,,,,,,,,,,,,,,,,,,,,,,UMT521P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNC514P,,,,,,,,UNC514P,,,,,,,,UNC501P,,,,UNC501P,,UEC716P,,,,,,,,,,,,UEC502P,,,,,,,,UTA025T,,UVD515P,,,,UNC503P,,,1,8:00 AM,
M,M,,,,,,,,,,,,,,,,,,,,,,,,,,B302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C328,,,,,,,,C328,,,,,,,,C332,,,,C327,,C202,,,,,,,,,,,,C203,,,,,,,,B107,,C221,,,,C333,,M,,,
,,2,,8:50:AM,UEI601L,,,,,,,,,,,,,,,,,,,,,,DMG/SPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UEE508T,,,,,,,,,,,,LAB,,,,,,,,LAB,,,,,,,,LAB,,,,LAB,,LAB,,,,,,,,,,,,LAB,,,,,,,,SCB,,LAB,,,,LAB,,,2,8:50:AM ,
